"","scope 1 emissions","scope 2 emissions","total emissions","emissions quality flag","s1 lower bound","s1 upper bound","s1 mean","tot lower bound","tot upper bound","tot mean","co2 emissions per capita","latitude","longitude","region","population","city area km","average annual temperature celcius","gdp-ppp per capita","ngdp","ngdp per capita","energy per person co2","center of commerce index","urbanization ratio","mean one-way travel time","average diesel price","average gasoline price","household size","congestion rank","economy rank","environment rank","governance rank","human capital rank","international impact rank","mobility and transportation rank","public management rank","social cohesion rank","technology rank","urban planning rank","CIMI","CIMI Ranking","exports","production","natgas exports","C4H waste per capita","C4H waste plus natgas per capita","corrected C4H waste plus natgas per capita"
"16",NA,NA,394341,"D",NA,NA,NA,385925.701179389,390164.819073995,388045.260126692,NA,39.195,-106.837002,"North America",7710,11.852,6,NA,NA,NA,NA,NA,NA,14.5,0.97,0.86,2.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"17",1260355,3451221,4711576,"A",991456.416489313,1011876.4745827,1001666.445536,4442677.41648931,4463097.4745827,4452887.445536,NA,37.984,23.727806,"Europe",660000,39,17.5,32484,117.88992,33292.6350902748,NA,43.25,60.316,37.46,1.63,1.98,2.2,NA,115,99,95,67,39,46,95,160,98,25,60.9,94,0,1,0,0.013363883,0.0144621319,0.0144621319
"18",3548215,5476020,9024235,"A",3105056.19685336,3328292.76309031,3216674.47997184,8581076.19685336,8804312.76309031,8692694.47997184,NA,33.755,-84.39,"North America",472522,344.8571685,16.9,52609,249.7,47024.4821092279,NA,52.86,80.731,25.5,0.97,0.86,2.25,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"19",9133523,1338632,10472155,"A",8102073.11753756,8550047.16707708,8326060.14230732,9440705.11753756,9888679.16707708,9664692.14230732,NA,-36.841,174.74,"Oceania",1570000,4893,15.3,31766,45,33358.042994811,NA,NA,NA,40.9183673469388,1.11,1.71,3,NA,30,100,4,124,76,85,41,40,44,82,71.23,44,0,1,0,0.0132737261,0.0234648677,0.0234648677
"20",6439000,7261000,13700000,"A",5552029.30180822,5998831.42242773,5775430.36211797,12813029.3018082,13259831.4224277,13036430.362118,NA,30.267,-97.733333,"North America",947890,771.558021,20,55420,81,46605.2934407365,15.4,NA,80.731,23.4,0.97,0.86,2.47,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"21",481003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.23793,116.852853,"Southeast Asia",736806,503.3,NA,NA,7,12544802.8673835,NA,NA,NA,NA,0.8,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",4019044,3211447,7230497,"A",3405233.48210844,3714434.04714583,3559833.76462714,6616686.48210844,6925887.04714583,6771286.76462714,NA,39.283,-76.616667,"North America",614664,209.6337906,14.7,62291,145,53406.9981583794,NA,NA,NA,30.5,0.97,0.86,2.47,218,16,125,19,16,74,63,3,98,3,13,79.82,20,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"23",2660.98238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.91746,107.619123,"Southeast Asia",2575478,167.67,NA,NA,10,4175365.34446764,NA,NA,NA,NA,0.8,0.93,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",5568706.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.97029,77.596152,"South Asia",12339447,709,NA,5051,29,3550.87547447043,NA,35.78,29.235,NA,0.91,1.1,NA,NA,166,175,126,161,143,128,167,104,137,170,37.3,174,NA,NA,NA,NA,NA,NA
"25",2946568.18924,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.678879734794,38.8666666667,115.466666667,"East Asia",1157891,326,NA,NA,9,7020.28081123,NA,NA,NA,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
