"","scope 1 emissions","scope 2 emissions","total emissions","emissions quality flag","s1 lower bound","s1 upper bound","s1 mean","tot lower bound","tot upper bound","tot mean","co2 emissions per capita","latitude","longitude","region","population","city area km","average annual temperature celcius","gdp-ppp per capita","ngdp","ngdp per capita","energy per person co2","center of commerce index","urbanization ratio","mean one-way travel time","average diesel price","average gasoline price","household size","congestion rank","economy rank","environment rank","governance rank","human capital rank","international impact rank","mobility and transportation rank","public management rank","social cohesion rank","technology rank","urban planning rank","CIMI","CIMI Ranking","exports","production","natgas exports","C4H waste per capita","C4H waste plus natgas per capita","corrected C4H waste plus natgas per capita"
"68",5316666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,76.9558,"South Asia",1601438,246.75,NA,NA,5,2415458.93719807,NA,NA,NA,NA,0.91,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",5487400,5496200,10983600,"A",4652603.75505142,5073123.54594037,4862863.65049589,10148803.7550514,10569323.5459404,10359063.6504959,NA,39.983,-82.983333,"North America",860090,562.4681283,11.6,54780,89,48264.6420824295,NA,NA,NA,21.4,0.97,0.86,2.4,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"70",NA,NA,1450358,"D",NA,NA,NA,1242354.81899309,1273425.20283192,1257890.0109125,NA,55.676,12.568333,"Europe",603000,86,8,42220,98.83225,49018.6329057671,NA,57.99,85.856,31.02,1.8,2.01,2.01213023042376,268,31,41,17,31,27,17,162,6,53,29,77.56,27,4.517e+09,6.412e+09,0.7,0.0106834006,0.01703133,0.0125594652
"71",2686488,349791,3036279,"A",1863428.4019987,1944783.84678653,1904106.12439262,2213219.4019987,2294574.84678653,2253897.12439262,NA,-25.417,-49.25,"Latin America & Caribbean",1750000,434,18,16980,58,18273.4719596723,NA,NA,82.834,32.1,1.02,1.27,3.02735375473824,129,170,124,96,91,115,133,72,124,117,123,50.76,131,1.17e+10,1.703e+10,0.69,0.0151203426,0.0204194776,0.0167788505
"72",11448360.8442,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29926470118,38.9208333333,121.639166667,"East Asia",6690432,13237,NA,NA,54,13803.6809816,NA,NA,42.522,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",119881,17109507,17229388,"A",-1136048.67360995,-503387.366238818,-819718.019924382,15973458.3263901,16606119.6337612,16289788.9800756,NA,32.776,-96.796667,"North America",1317929,881.9433948,19.4,59483,324.9,50646.9212782541,NA,NA,NA,26.55,0.97,0.86,2.6,16,10,102,12,11,61,108,25,89,21,55,78.24,23,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"74",650633.454572,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.441072141057,40.1166666667,124.383333333,"East Asia",865576,830,NA,NA,NA,NA,NA,NA,NA,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",3884885.60902,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.103472,46.5833333333,125,"East Asia",1649825,5107,NA,NA,39,22272.9868646,NA,NA,NA,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",1498970.42305,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.822655480591,40.0833333333,113.3,"East Asia",1737517,2080,NA,NA,4,2301.49597238,NA,NA,NA,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",348437,NA,348437,"E",282928.08785664,315927.51041344,299427.79913504,282928.08785664,315927.51041344,299427.79913504,NA,38.554,-121.738056,"North America",68111,25.6150011,23,NA,NA,NA,NA,NA,NA,21.4,0.97,0.86,2.64,364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"78",1316744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.318,78.029,"South Asia",578420,300,NA,NA,0.87867082917314,NA,NA,NA,NA,NA,0.91,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",4557000,4385000,8942000,"A",3894059.79522385,4228008.92109889,4061034.35816137,8279059.79522385,8613008.92109889,8446034.35816137,NA,39.762,-104.881105,"North America",693060,396.26847,10.1,61795,142,55425.4488680718,17.69,NA,80.731,24.8,0.97,0.86,2.3,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"80",5520240,4809082,10329322,"C",4832495.28502981,5178939.42091839,5005717.3529741,9641577.28502981,9988021.42091839,9814799.3529741,NA,42.331,-83.045833,"North America",672795,359.3611125,9,48421,179,41618.2283189956,NA,NA,NA,26.8,0.97,0.86,2.65,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"81",3132786,4253621,7386407,"A",2461491.41170264,2799648.97003363,2630570.19086814,6715112.41170264,7053269.97003363,6884191.19086814,NA,38.905,-77.016389,"North America",681170,158.1188895,14.7,46251,30.00429,43856.047030347,NA,NA,NA,29.7,0.97,0.86,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"82",NA,NA,2942349,"D",NA,NA,NA,NA,NA,NA,NA,53.35,-6.260278,"Europe",553165,114.99,10,51319,101,58045.9770114943,NA,51.77,60.477,27.2,1.84,1.92,2.4,151,22,70,21,77,24,54,52,64,89,65,74.47,33,0,1,0,0.0096132215,0.0284408491,0.0284408491
"83",11681810,10905271,22587081,"A",10291759.069252,10464071.0973076,10377915.0832798,21197030.069252,21369342.0973076,21283186.0832798,NA,-29.883,31.05,"Africa",3560000,2292,24,12884,22,7447.52877454299,NA,NA,NA,35.12,1.17,1.19,NA,158,167,123,85,160,173,138,110,156,147,156,43.35,158,0,1,0,0.0122306776,0.0139613383,0.0139613383
"84",1973070,2557399,4530469,"A",1722603.26525554,1848773.23733761,1785688.25129657,4280002.26525554,4406172.23733761,4343087.25129657,NA,35.989,-78.907222,"North America",263016,278.0872263,15,67953,43.484,NA,NA,NA,NA,21.7,0.97,0.86,2.35,778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"85",10215142,6361560,16576702,"A",8408375.226972,9063125.016792,8735750.121882,14769935.226972,15424685.016792,15097310.121882,NA,53.533,-113.5,"North America",932546,685.25,3.6,62832,64,54421.768707483,NA,NA,NA,25.6,1.16,1.17,2.9,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.796e+10,1.515e+11,0.51,0.046860437,0.1017275144,0.0734936045
"86",19330397,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.223,28.167,"Africa",3178470,1975,NA,NA,NA,NA,NA,NA,59.256,NA,1.17,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",127138,40590,167728,"A",116582.676808608,121899.809376068,119241.243092338,157172.676808608,162489.809376068,159831.243092338,NA,37.831,-122.285278,"North America",11671,3.2374875,15.1,NA,NA,NA,NA,NA,NA,28.7,0.97,0.86,1.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"88",1106250,137500,1250000,"A",955269.932515936,1031324.54678976,993297.239652846,1099019.93251594,1175074.54678976,1137047.23965285,NA,44.052,-123.086667,"North America",166575,113.2343628,11.2,NA,13.673,NA,NA,NA,NA,17.7,0.97,0.86,2.32,900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"89",128,138,265.85,"A",NA,NA,NA,NA,NA,NA,NA,37.033,-7.916667,"Europe",64560,202.57,17.8,NA,NA,NA,NA,NA,NA,18.91,1.64,1.89,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0.0311275785,0.0361368851,0.0361368851
"90",NA,NA,1582605.13,"D",NA,NA,NA,1526258.50723511,1540164.94774029,1533211.7274877,NA,44.833,11.616667,"Europe",132499,404.38,15.5,NA,NA,NA,NA,NA,NA,NA,2.01,2.14,2,970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8e+07,7.8e+09,0.01,0.0113831309,0.0151458624,0.0151130591
"91",621293.07,590324.4,1211617.47,"A",NA,NA,NA,NA,NA,NA,NA,35.199,-111.631111,"North America",71459,165.4226613,6.5,NA,5.267,NA,NA,NA,NA,15.9,0.97,0.86,2.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"92",1305206,145259,1450465,"A",1046811.7023,1072352.72396,1059582.21313,1192070.7023,1217611.72396,1204841.21313,NA,-27.572,-48.6256,"Latin America & Caribbean",469690,675.409,20,NA,13,12845.8498023715,NA,NA,NA,NA,1.02,1.27,2.83390872033479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17e+10,1.703e+10,0.69,0.0151203426,0.0204194776,0.0167788505
"93",2055587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.58526,-105.084,"North America",143986,147.77,NA,NA,NA,NA,NA,NA,80.731,NA,0.97,0.86,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",1495948.86969,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.976612,41.8666666667,123.9,"East Asia",1410000,1416,NA,NA,10,7524.45447705,NA,NA,NA,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",381202.916456,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.399284933976,41.0166666667,121.65,"East Asia",669317,459,NA,NA,NA,NA,NA,NA,NA,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",7188866.09081,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63083987001,26.0761111111,119.306388889,"East Asia",4468076,NA,NA,NA,23.4,8068.96551724,NA,NA,42.522,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",5424749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.22,72.68,"South Asia",292167,177,NA,NA,0.408715911832607,NA,NA,NA,NA,NA,0.91,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",NA,NA,1810370,"D",NA,NA,NA,NA,NA,NA,NA,44.407,8.933983,"Europe",583973,240.29,15,NA,29.22339,41060.5228216351,NA,NA,NA,NA,2.01,2.14,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8e+07,7.8e+09,0.01,0.0113831309,0.0151458624,0.0151130591
"99",247599,83684,331283,"A",223915.415520917,227453.14055417,225684.278037544,307599.415520917,311137.14055417,309368.278037544,NA,55.733,12.483333,"Europe",66693,25,NA,NA,NA,NA,NA,NA,NA,NA,1.8,2.01,2.17959183673469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.517e+09,6.412e+09,0.7,0.0106834006,0.01703133,0.0125594652
"100",NA,NA,2016320,"D",NA,NA,NA,995361.377276226,1096278.17973302,1045819.77850462,NA,-16.667,-49.25,"Latin America & Caribbean",2458504,739,23.2,NA,23,10584.4454670962,NA,NA,NA,NA,1.02,1.27,3.07229542712498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17e+10,1.703e+10,0.69,0.0151203426,0.0204194776,0.0167788505
"101",1218740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.0667,15.4333,"Europe",280200,127.56,NA,NA,135.28783,52806.9970686162,NA,NA,66.534,NA,1.55,1.6,2,291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",20620000,19570000,40190000,"A",14838290.93624,16252789.02544,15545539.98084,34408290.93624,35822789.02544,35115539.98084,NA,51.507,-0.1275,"Europe",8673713,1572.15,11,NA,NA,NA,6.3,79.17,79.007,37,1.99,1.92,2.47,7,4,35,23,1,2,1,34,105,23,22,98.71,2,1.055e+10,4.099e+10,0.26,0.0181362582,0.0260463068,0.0240104197
"103",21069987.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.98,23.1333333333,113.266666667,"East Asia",11547491,3843.43,NA,NA,146.1,13196.6398699,NA,NA,42.522,NA,1.09,1.17,NA,NA,100,170,103,44,21,19,161,141,20,69,57.47,102,NA,NA,NA,NA,NA,NA
"104",497634,50562,548195.98,"A",NA,NA,NA,NA,NA,NA,NA,-22.817,-45.227778,"Latin America & Caribbean",119073,752.64,24,NA,NA,NA,NA,NA,NA,NA,1.02,1.27,3.26293771757891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.17e+10,1.703e+10,0.69,0.0151203426,0.0204194776,0.0167788505
"105",1059495.97501,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.361320940841,26.65,106.633333333,"East Asia",3483100,2403.4,NA,NA,13,4280.54000659,NA,NA,42.522,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",1195239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.21829,78.182831,"South Asia",1069276,289,NA,NA,NA,NA,NA,NA,NA,NA,0.91,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",363052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.6749,17.1413,"Europe",75451,42.45,NA,NA,NA,NA,NA,NA,84.319,NA,1.82,1.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",10142882.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56,45.75,126.633333333,"East Asia",5282083,4640.4,NA,NA,38.8,6599.76186426,NA,NA,42.522,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",880097.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58,20.0427777778,110.341666667,"East Asia",2046189,2237,NA,NA,9,4398.82697947,NA,NA,42.522,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",NA,NA,17755,"D",NA,NA,NA,NA,NA,NA,NA,53.565,10.001389,"Europe",1787408,755,8.8,49757,165,51546.3917525773,NA,51.53,73.355,29.5,1.58,1.8,1.8,74,47,47,27,36,79,24,70,18,85,23,74.2,34,8.81e+09,2.222e+10,0.4,0.0079727498,0.0111077293,0.0098647424
"111",6304593,10164690,16469283,"A",5234631.06734723,5622371.95398404,5428501.51066563,15399321.0673472,15787061.953984,15593191.5106656,NA,43.25,-79.866667,"North America",536917,1138.11,8.2,NA,32,43243.2432432432,NA,NA,NA,26.9,1.16,1.17,3,465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.796e+10,1.515e+11,0.51,0.046860437,0.1017275144,0.0734936045
"112",3005643.73272,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.754109514077,36.6,114.483333333,"East Asia",941427,142,NA,NA,9,6642.06642066,NA,NA,NA,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",20319589.9607,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.188562052,30.25,120.166666667,"East Asia",7970000,8000,NA,NA,70.5,11294.4569048,NA,NA,42.522,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",477723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.01621,100.47288,"Southeast Asia",158218,21,NA,NA,NA,NA,NA,NA,NA,NA,0.9,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",861854,186850,1048704,"A",703089.756141584,783065.567043914,743077.661592749,889939.756141584,969915.567043914,929927.661592749,NA,37.669,-122.080796,"North America",158937,117.3783468,11.8,NA,411.969,NA,NA,NA,NA,30.9,0.97,0.86,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"116",5131200.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.32,31.8666666667,117.283333333,"East Asia",5670000,838.5,NA,NA,31.2,9307.87589499,NA,NA,42.522,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",306548.753366,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.378047799552,47.35,130.3,"East Asia",664471,11849,NA,NA,NA,NA,NA,NA,NA,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",NA,NA,879900,"D",NA,NA,NA,NA,NA,NA,NA,49.417,8.716667,"Europe",144000,109,13.2,NA,NA,NA,NA,NA,NA,26.6,1.58,1.8,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.81e+09,2.222e+10,0.4,0.0079727498,0.0111077293,0.0098647424
"119",350520.291081,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.363462839327,47.7333333333,128.9,"East Asia",1148126,39017,NA,NA,NA,NA,NA,NA,NA,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",2096206,2789724,4885930,"A",1166677.77306739,1189218.47637513,1177948.12472126,3956401.77306739,3978942.47637513,3967672.12472126,NA,60.171,24.9375,"Europe",629512,214.21,5.9,47547,88,61884.6694796062,NA,NA,82.905,26.2,1.78,1.89,1.9,242,42,29,10,62,63,28,117,1,52,33,76.91,29,0,1,0,0.0528714133,0.0541853882,0.0541853882
"121",1030434.76712,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32394807421,26.9,112.6,"East Asia",1135166,722,NA,NA,6,5286.34361233,NA,NA,NA,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",123218,3334,126611,"A",103495.4235544,113430.4631199,108462.94333715,106888.4235544,116823.4631199,111855.94333715,NA,33.866,-118.399722,"North America",19789,3.7036857,18,NA,NA,NA,NA,NA,NA,31.7,0.97,0.86,2.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"123",NA,NA,8675437,"D",NA,NA,NA,8579151.44878914,8591457.65764221,8585304.55321568,NA,34.385,132.455278,"East Asia",1154391,906.53,16.6,36900,49.35084,34976.1868313177,NA,NA,NA,27.9,1.1,1.38,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0.0025182088,0.0028872234,0.0028872234
"124",289000,128000,417000,"A",NA,NA,NA,NA,NA,NA,NA,57.467,9.983333,"Europe",67121,929.58,7.5,NA,NA,NA,NA,NA,NA,NA,1.8,2.01,2.10208293028955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.517e+09,6.412e+09,0.7,0.0106834006,0.01703133,0.0125594652
"125",173000,124000,297000,"A",NA,NA,NA,NA,NA,NA,NA,55.648,12.27,"Europe",48853,78.41,8.1,NA,NA,NA,NA,NA,NA,NA,1.8,2.01,2.32438978945407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.517e+09,6.412e+09,0.7,0.0106834006,0.01703133,0.0125594652
"126",2721836.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52,40.8166666667,111.65,"East Asia",1980774,2065.1,NA,NA,20,10095.911156,NA,NA,42.522,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",44876460,NA,44900000,"C",40633441.4875501,41646498.5108081,41139969.9991791,40656981.4875501,41670038.5108081,41163509.9991791,NA,22.3,114.2,"East Asia",7310000,1104,23.3,57244,224.5,NA,NA,63.94,100,41.33,1.56,2.06,2.8,NA,19,108,13,22,31,37,73,139,11,89,71.69,42,0,1,0,0.0157233279,0.0206548504,0.0206548504
"128",16075539,14511262,33428301,"A",13882674.1021284,14987306.6323783,14434990.3672534,31235436.1021284,32340068.6323783,31787752.3672534,NA,29.763,-95.383056,"North America",2303482,1552.9321041,21,74926,341.1,57087.8661087866,NA,51.3,80.731,26.5,0.97,0.86,2.68,28,9,141,12,18,95,121,15,102,12,44,75.97,32,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"129",1322234.51304,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.18104,33.58,116.47,"East Asia",1113321,748.4,NA,NA,5,4492.36298293,NA,NA,NA,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",1124851.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,32.6166666667,116.983333333,"East Asia",1666826,1492.3,NA,NA,6,3731.34328358,NA,NA,NA,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",563460.779364,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.408322369844,30.2166666667,115.083333333,"East Asia",691963,233.8,NA,NA,6,7843.1372549,NA,NA,NA,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",1040337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.450001,107.583336,"Southeast Asia",354124,70.67,NA,NA,0.930583326447587,NA,NA,NA,NA,NA,0.91,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",2196031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.366,78.476,"South Asia",6809970,650,NA,NA,16,2127659.57446808,NA,NA,NA,NA,0.91,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",57719912,12074228,69794140,"A",56407018.0058544,56806629.8351689,56606823.9205116,68481246.0058544,68880857.8351689,68681051.9205116,NA,37.483,126.633333,"East Asia",3002645,1029.43,12.7,34355,49,18400.300413068,NA,NA,NA,42.7,1.37,1.55,2.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0.0109325943,0.0157162134,0.0157162134
"135",726155.11,1434209.86,2160364.98,"A",NA,NA,NA,NA,NA,NA,NA,39.791,-86.148,"North America",855164,936.1000857,11.7,57511,92,52154.1950113379,NA,NA,NA,22.8,0.97,0.86,2.5,430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"136",1145839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.723481,75.860184,"South Asia",1994397,389.8,NA,NA,4,1913875.59808612,NA,NA,NA,NA,0.91,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",590282,699338,1298620,"A",516968.939252976,553899.619237846,535434.279245411,1225306.93925298,1262237.61923785,1243772.27924541,NA,41.66,-91.5342,"North America",74398,64.7756499,10.5,NA,8.879,NA,NA,NA,NA,16.4,0.97,0.86,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.287e+10,7.662e+11,0.06,0.0176989817,0.0367294791,0.0356646952
"138",37199137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.00824,28.978359,"North Africa, Middle East, West Asia",15029231,5343,NA,24867,188.2,17182.507075687,NA,36.14,66.841,NA,1.9,2.06,3.5,17,92,134,159,136,6,124,68,152,54,87,57.39,104,NA,NA,NA,NA,NA,NA
"139",50287659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.41842,27.14283,"North Africa, Middle East, West Asia",4273677,7340,NA,19885.9910581222,45,15833919.7748065,NA,NA,NA,NA,1.9,2.06,NA,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",7610894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.926,75.8235,"South Asia",3046189,484.64,NA,NA,6,2008032.12851406,NA,NA,NA,NA,0.91,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",NA,NA,27780000,"D",NA,NA,NA,23757076.8633623,24702253.4109391,24229665.1371507,NA,-6.2,106.816667,"Southeast Asia",10075310,664.12,29,9984,70.7,7358.45129059117,NA,35.4,45.937,42.1,0.8,0.93,4.5,22,126,160,122,127,85,159,36,165,50,174,44.81,156,3.178e+10,7.5e+10,0.42,0.0109098013,0.0167237797,0.0142602033
"142",2353555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.7833,35.2167,"North Africa, Middle East, West Asia",882652,125.156,NA,NA,34.5154778575964,NA,NA,NA,NA,NA,2.08,1.88,NA,NA,96,78,54,153,97,134,123,103,116,113,56.46,108,NA,NA,NA,NA,NA,NA
"143",495170.672101,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.365305620079,46.8,130.316666667,"East Asia",881711,882.5,NA,NA,NA,NA,NA,NA,NA,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",815447.132719,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49194801888,35.2430555556,113.223055556,"East Asia",865413,413.8,NA,NA,4,4624.27745665,NA,NA,NA,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",2348914.71091,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.944832,43.8666666667,126.55,"East Asia",1975121,3663.9,NA,NA,15,7591.09311741,NA,NA,42.522,NA,1.09,1.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
